Author,Quote,Tags,Author Quote Count,Author Rank
Pablo Neruda,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.","love, poetry",1,22
Ralph Waldo Emerson,For every minute you are angry you lose sixty seconds of happiness.,happiness,2,9
Mother Teresa,"If you judge people, you have no time to love them.",attributed-no-source,2,10
Garrison Keillor,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,"humor, religion",1,23
Jim Henson,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,humor,1,24
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You.","comedy, life, yourself",5,4
Albert Einstein,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.","children, fairy-tales",9,1
J.K. Rowling,"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",,7,2
Albert Einstein,Logic will get you from A to Z; imagination will get you everywhere.,imagination,9,1
Bob Marley,"One good thing about music, when it hits you, you feel no pain.",music,3,5
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.","learning, reading, seuss",5,4
J.K. Rowling,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",dumbledore,7,2
Bob Marley,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",friendship,3,5
Mother Teresa,Not all of us can do great things. But we can do small things with great love.,"misattributed-to-mother-teresa, paraphrased",2,10
J.K. Rowling,"To the well-organized mind, death is but the next great adventure.","death, inspirational",7,2
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.,"chocolate, food, humor",1,25
William Nicholson,We read to know we're not alone.,"misattributed-to-c-s-lewis, reading",1,26
Albert Einstein,Any fool can know. The point is to understand.,"knowledge, learning, understanding, wisdom",9,1
Jorge Luis Borges,I have always imagined that Paradise will be a kind of library.,"books, library",1,27
George Eliot,It is never too late to be what you might have been.,inspirational,1,28
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.","read, readers, reading, reading-books",1,29
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.,"books, inspirational, reading, tea",2,11
Marilyn Monroe,You believe lies so you eventually learn to trust no one but yourself.,,7,3
Marilyn Monroe,"If you can make a woman laugh, you can make her do anything.","girls, love",7,3
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving.","life, simile",9,1
Marilyn Monroe,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,love,7,3
Marilyn Monroe,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",attributed-no-source,7,3
Martin Luther King Jr.,Only in the darkness can you see the stars.,"hope, inspirational",1,30
J.K. Rowling,"It matters not what someone is born, but what they grow to be.",dumbledore,7,2
James Baldwin,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",love,1,31
Jane Austen,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.","friendship, love",2,6
Eleanor Roosevelt,Do one thing every day that scares you.,"attributed, fear, inspiration",2,7
Marilyn Monroe,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",attributed-no-source,7,3
Albert Einstein,"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",music,9,1
Haruki Murakami,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","books, thought",1,32
Alexandre Dumas fils,The difference between genius and stupidity is: genius has its limits.,misattributed-to-einstein,1,33
Stephenie Meyer,"He's like a drug for you, Bella.","drug, romance, simile",1,34
Ernest Hemingway,There is no friend as loyal as a book.,"books, friends, novelist-quotes",2,12
Helen Keller,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",inspirational,1,35
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,"inspirational, life, yourself",1,36
Charles Bukowski,"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",alcohol,2,13
Suzanne Collins,You don’t forget the face of the person who was your last hope.,the-hunger-games,2,14
Suzanne Collins,"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",humor,2,14
C.S. Lewis,"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",love,2,11
J.R.R. Tolkien,Not all those who wander are lost.,"bilbo, journey, lost, quest, travel, wander",1,37
J.K. Rowling,"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",live-death-love,7,2
Ernest Hemingway,There is nothing to writing. All you do is sit down at a typewriter and bleed.,"good, writing",2,12
Ralph Waldo Emerson,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,"life, regrets",2,9
Mark Twain,I have never let my schooling interfere with my education.,education,2,8
Dr. Seuss,I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!,troubles,5,4
Alfred Tennyson,If I had a flower for every time I thought of you...I could walk through my garden forever.,"friendship, love",1,38
Charles Bukowski,Some people never go crazy. What truly horrible lives they must lead.,humor,2,13
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.","humor, open-mind, thinking",1,39
Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!","humor, philosophy",5,4
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.","authors, books, literature, reading, writing",1,40
